Time,Input,Output,Temperature,Drive
0.0782313,-0.548261,-0.211492,47.4985,0.3
0.078458,-0.575419,-0.225335,49.5318,0.3
0.0786848,-0.578746,-0.228702,50.6848,0.3
0.0789116,-0.551497,-0.218243,50.6591,0.3
0.0791383,-0.490044,-0.192882,49.5786,0.3
0.0793651,-0.394717,-0.152942,47.1612,0.3
0.0795918,-0.270047,-0.1016,43.2602,0.3
0.0798186,-0.124344,-0.0447074,37.9361,0.3
0.0800453,0.03128,0.0106027,31.6921,0.3
0.0802721,0.184394,0.0611876,29.6739,0.3
0.0804989,0.322903,0.110421,33.0085,0.3
0.0807256,0.436658,0.156643,38.513,0.3
0.0809524,0.518764,0.194182,43.7393,0.3
0.0811791,0.566362,0.21858,47.68,0.3
0.0814059,0.580764,0.228173,49.9772,0.3
0.0816327,0.566976,0.224126,50.6381,0.3
0.0818594,0.532642,0.210259,50.2169,0.3
0.0820862,0.486657,0.190765,49.0557,0.3
0.0823129,0.437656,0.169489,47.3113,0.3
0.0825397,0.39266,0.149709,45.2464,0.3
0.0827664,0.356078,0.133485,43.1381,0.3
0.0829932,0.329254,0.121451,41.2087,0.3
0.08322,0.310569,0.112958,39.5818,0.3
0.0834467,0.296099,0.106452,38.2652,0.3
0.0836735,0.28065,0.0999139,37.1602,0.3
0.0839002,0.258982,0.0913318,36.0926,0.3
0.084127,0.22697,0.079165,34.8567,0.3
0.0843537,0.182495,0.0627351,33.2648,0.3
0.0845805,0.125914,0.0424452,31.1898,0.3
0.0848073,0.0599859,0.0197118,28.5948,0.3
0.085034,-0.0106613,-0.00339805,25.6185,0.3
0.0852608,-0.0804569,-0.0253377,24.497,0.3
0.0854875,-0.144002,-0.0459721,25.8413,0.3
0.0857143,-0.197146,-0.0645223,28.3212,0.3
0.085941,-0.237809,-0.0797172,30.7783,0.3
0.0861678,-0.266397,-0.0910244,32.7909,0.3
0.0863946,-0.285697,-0.0989833,34.2801,0.3
0.0866213,-0.300282,-0.105069,35.3588,0.3
0.0868481,-0.315504,-0.111276,36.2476,0.3
0.0870748,-0.336303,-0.119604,37.2059,0.3
0.0873016,-0.366007,-0.131563,38.4648,0.3
0.0875283,-0.405391,-0.147779,40.1668,0.3
0.0877551,-0.452181,-0.167699,42.3214,0.3
0.0879819,-0.501112,-0.189417,44.7842,0.3
0.0882086,-0.544556,-0.209699,47.2642,0.3
0.0884354,-0.573645,-0.224353,49.3606,0.3
0.0886621,-0.5797,-0.22895,50.6217,0.3
0.0888889,-0.555731,-0.219946,50.7053,0.3
0.0891156,-0.497755,-0.196102,49.7426,0.3
0.0893424,-0.405684,-0.157528,47.469,0.3
0.0895692,-0.283625,-0.107098,43.7172,0.3
0.0897959,-0.139564,-0.0504453,38.5269,0.3
0.0900227,0.0156177,0.00532136,32.2187,0.3
0.0902494,0.169549,0.0562546,29.6424,0.3
0.0904762,0.310017,0.105545,32.5163,0.3
0.090703,0.426619,0.152317,37.9499,0.3
0.0909297,0.512088,0.190964,43.2642,0.3
0.0911565,0.563146,0.216802,47.3572,0.3
0.0913832,0.580699,0.227866,49.8234,0.3
0.09161,0.56942,0.225062,50.6392,0.3
0.0918367,0.53675,0.211962,50.2935,0.3
0.0920635,0.491526,0.192857,49.2018,0.3
0.0922903,0.442476,0.171596,47.505,0.3
0.092517,0.396833,0.15155,45.4593,0.3
0.0927438,0.359297,0.13492,43.3439,0.3
0.0929705,0.331524,0.122476,41.3892,0.3
0.0931973,0.312169,0.113687,39.7298,0.3
0.093424,0.297498,0.107069,38.385,0.3
0.0936508,0.282394,0.100629,37.2658,0.3
0.0938776,0.261561,0.0923319,36.2036,0.3
0.0941043,0.230718,0.0805712,34.9936,0.3
0.0943311,0.187516,0.0645683,33.4443,0.3
0.0945578,0.132058,0.0446152,31.4209,0.3
0.0947846,0.0668812,0.0220397,28.8767,0.3
0.0950113,-0.00353758,-0.00113066,25.884,0.3
0.0952381,-0.0736731,-0.0232041,24.505,0.3
0.0954649,-0.138059,-0.0439784,25.6262,0.3
0.0956916,-0.192375,-0.0627999,28.0628,0.3
0.0959184,-0.23431,-0.0783712,30.549,0.3
0.0961451,-0.264018,-0.0900613,32.6136,0.3
0.0963719,-0.284066,-0.0983022,34.1526,0.3
0.0965986,-0.298884,-0.104489,35.2636,0.3
0.0968254,-0.313803,-0.11059,36.1599,0.3
0.0970522,-0.333861,-0.118627,37.0998,0.3
0.0972789,-0.362589,-0.130176,38.3203,0.3
0.0975057,-0.401055,-0.14597,39.9751,0.3
0.0977324,-0.447295,-0.165583,42.0884,0.3
0.0979592,-0.496324,-0.187246,44.5312,0.3
0.0981859,-0.540706,-0.207849,47.0261,0.3
0.0984127,-0.571636,-0.223269,49.1809,0.3
0.0986395,-0.580348,-0.229058,50.5459,0.3
0.0988662,-0.559622,-0.2215,50.7419,0.3
0.099093,-0.505123,-0.199172,49.8934,0.3
0.0993197,-0.416345,-0.161992,47.7618,0.3
0.0995465,-0.296985,-0.112533,44.1595,0.3
0.0997732,-0.154673,-0.056193,39.1056,0.3
0.1,-5.88258e-05,-2.01611e-05,32.8177,0.3
0.100227,0.154563,0.0513049,29.6681,0.3
0.100454,0.296888,0.100646,32.0468,0.3
0.10068,0.416262,0.147907,37.3843,0.3
0.100907,0.505068,0.187617,42.7763,0.3
0.101134,0.559594,0.214873,47.0179,0.3
0.101361,0.580344,0.227419,49.6528,0.3
0.101587,0.571651,0.225891,50.6271,0.3
0.101814,0.540734,0.213606,50.3624,0.3
0.102041,0.496359,0.194928,49.3418,0.3
0.102268,0.447332,0.173716,47.6951,0.3
0.102494,0.401088,0.153427,45.6715,0.3
0.102721,0.362617,0.136397,43.5515,0.3
0.102948,0.33388,0.123539,41.5728,0.3
0.103175,0.313818,0.114439,39.881,0.3
0.103401,0.298898,0.107689,38.5072,0.3
0.103628,0.28408,0.101325,37.372,0.3
0.103855,0.264039,0.0932971,36.313,0.3
0.104082,0.234338,0.0819335,35.1271,0.3
0.104308,0.19241,0.0663601,33.619,0.3
0.104535,0.138102,0.046758,31.6468,0.3
0.104762,0.0737209,0.0243609,29.154,0.3
0.104989,0.00358675,0.00114996,26.1838,0.3
0.105215,-0.0668321,-0.0210563,24.5327,0.3
0.105442,-0.132012,-0.0419653,25.4229,0.3
0.105669,-0.187479,-0.0610448,27.8043,0.3
0.105896,-0.230689,-0.0769861,30.3152,0.3
0.106122,-0.26154,-0.0890625,32.4309,0.3
0.106349,-0.282379,-0.097599,34.0206,0.3
0.106576,-0.297487,-0.103909,35.1662,0.3
0.106803,-0.312153,-0.109924,36.0725,0.3
0.107029,-0.331503,-0.117684,36.9966,0.3
0.107256,-0.359271,-0.128834,38.1803,0.3
0.107483,-0.396801,-0.144201,39.7881,0.3
0.10771,-0.44244,-0.163489,41.8588,0.3
0.107937,-0.491492,-0.185066,44.2788,0.3
0.108163,-0.536723,-0.205948,46.7847,0.3
0.10839,-0.569406,-0.222088,48.9934,0.3
0.108617,-0.580703,-0.229032,50.4578,0.3
0.108844,-0.563173,-0.222908,50.7695,0.3
0.10907,-0.512141,-0.202089,50.0312,0.3
0.109297,-0.426696,-0.166331,48.0398,0.3
0.109524,-0.310111,-0.117898,44.5872,0.3
0.109751,-0.169653,-0.0619412,39.6718,0.3
0.109977,-0.0157338,-0.00542771,33.4924,0.3
0.110204,0.139447,0.0463272,29.7377,0.3
0.110431,0.283524,0.0957296,31.6038,0.3
0.110658,0.405602,0.143423,36.8182,0.3
0.110884,0.497697,0.184141,42.2765,0.3
0.111111,0.5557,0.212795,46.6622,0.3
0.111338,0.579692,0.226829,49.4654,0.3
0.111565,0.573655,0.226607,50.6002,0.3
0.111791,0.544582,0.215185,50.4236,0.3
0.112018,0.501147,0.196974,49.4755,0.3
0.112245,0.452217,0.175847,47.8814,0.3
0.112472,0.405425,0.155338,45.8828,0.3
0.112698,0.366034,0.137916,43.7605,0.3
0.112925,0.336323,0.124639,41.7594,0.3
0.113152,0.315521,0.115214,40.0355,0.3
0.113379,0.300293,0.108311,38.6318,0.3
0.113605,0.285713,0.102004,37.479,0.3
0.113832,0.266416,0.0942273,36.4212,0.3
0.114059,0.237834,0.0832526,35.2573,0.3
0.114286,0.19718,0.0681115,33.7891,0.3
0.114512,0.144044,0.0488723,31.8674,0.3
0.114739,0.0805052,0.0266748,29.4263,0.3
0.114966,0.0107127,0.00344589,26.4991,0.3
0.115193,-0.0599343,-0.0188933,24.5814,0.3
0.115419,-0.125868,-0.0399349,25.2333,0.3
0.115646,-0.182459,-0.059258,27.5465,0.3
0.115873,-0.22694,-0.0755607,30.077,0.3
0.1161,-0.258962,-0.0880282,32.2428,0.3
0.116327,-0.280636,-0.096874,33.8842,0.3
0.116553,-0.296084,-0.103325,35.0664,0.3
0.11678,-0.310553,-0.109275,35.9854,0.3
0.117007,-0.329236,-0.116778,36.896,0.3
0.117234,-0.356056,-0.127535,38.0447,0.3
0.11746,-0.392628,-0.142472,39.6059,0.3
0.117687,-0.437621,-0.161419,41.6328,0.3
0.117914,-0.486622,-0.18288,44.0275,0.3
0.118141,-0.532612,-0.204,46.5404,0.3
0.118367,-0.566958,-0.220814,48.7984,0.3
0.118594,-0.580764,-0.228872,50.3577,0.3
0.118821,-0.566383,-0.224169,50.7883,0.3
0.119048,-0.518814,-0.204856,50.1563,0.3
0.119274,-0.43673,-0.170539,48.303,0.3
0.119501,-0.322994,-0.123186,45,0.3
0.119728,-0.184505,-0.0676865,40.2251,0.3
0.119955,-0.0314006,-0.0109016,34.1581,0.3
0.120181,0.124229,0.0413257,29.854,0.3
0.120408,0.269944,0.090803,31.1919,0.3
0.120635,0.394633,0.138867,36.253,0.3
0.120862,0.489986,0.180543,41.7652,0.3
